address,eth_balance,cSum
0x923f3958f05395568e98fee5a647be489565fe64,1.00166E+22,2.46917E+25
0x5f6c15dfebc6e69acf13d9012b577ab70db38097,1.00065E+22,2.47017E+25
0x00d681a7b6584f978f63c81cfd847064ce19a080,1.00003E+22,2.47117E+25
0x3924435577d67066120589afdfbd14232eab2b7a,1E+22,2.47217E+25
0x7b8ffa4fe43d1b476cff9d0787fc0019ca54e421,1E+22,2.47317E+25
0x47849c4321fe5efc1954c5749568d3f8c4481b3e,1E+22,2.47417E+25
0x74db79268e63302d3fc69fb5a7627f7454a41732,9.9195E+21,2.47516E+25
0x5f6f5a9acf5d4fa200fa8601bbb906e53f88968c,9.84461E+21,2.47615E+25
0x741a816aec3b183d29117bad0906f1f15233c360,9.8113E+21,2.47713E+25
0x36c5f7c3fab772209e427f525b1fffe8399fb201,9.80547E+21,2.47811E+25
0x0000006daea1723962647b7e189d311d757fb793,9.67709E+21,2.47908E+25
0x99f4176ee457afedffcb1839c7ab7a030a5e4a92,9.6571E+21,2.48004E+25
0x88aa042c4aae423e0f1bb48542b473d1dd20a807,9.383E+21,2.48098E+25
0x78f1dbb372cdd95d3a0dda99cf369e02e717f4f4,9.34443E+21,2.48192E+25
0xe7178db9e123f053aabfd2c28520bf6b63cb4a47,9.08416E+21,2.48282E+25
0x6c76bb6843c2ed9a5ad484edc9fecba5cd80b6a0,9.00087E+21,2.48372E+25
0x94fa70d079d76279e1815ce403e9b985bccc82ac,8.99E+21,2.48462E+25
0x535b4f8494d372a5e5a8f27fa6d20087263066f0,8.8849E+21,2.48551E+25
0x43999678d2a2317028424029dd7da339db2d5c55,8.85516E+21,2.4864E+25
0x1dfd1be1c6e8ca4da3ccdbbcc83281db02a5f23e,8.53512E+21,2.48725E+25
0x9d217bcbd0bfae4d7f8f12c7702108d162e3ab79,7.8528E+21,2.48804E+25
0xbc270e1095403ba700e537cad46c3fabce5a7270,7.77705E+21,2.48881E+25
0xd56180329a11400afdbeaa7bc0b7acf0291a433f,7.64968E+21,2.48958E+25
0xd3621b7ea5062dbcf6daa333c24c651894c5d2ea,7.38188E+21,2.49032E+25
0xf0f266f7a481a15607b11d171760d96dcc16e4ed,7.3622E+21,2.49105E+25
0xe4baf69b887843ab6a0e82e8baea49010ff619af,7.10781E+21,2.49176E+25
0x4c854e15c2acbe3a505dc33eb6b72b8fc8a0ff00,7.08416E+21,2.49247E+25
0x8f68b0a52fb6025ca451b1421a45beffa5c397bf,6.97192E+21,2.49317E+25
0xdb0e7d784d6a7ca2cbda6ce26ac3b1bd348c06f8,6.925E+21,2.49386E+25
0x441d3663b321fd828350411641d7c9d57a183fcb,6.9001E+21,2.49455E+25
0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,6.78373E+21,2.49523E+25
0xd1669ac6044269b59fa12c5822439f609ca54f41,6.61381E+21,2.49589E+25
0x4905288e14f8f8ad21fa1662943475ccd2072651,6.5454E+21,2.49655E+25
0x8408b4ff79195dd2c1b903204b3b41becc4bb486,6.3701E+21,2.49718E+25
0x105db8a7c23456ae739786908e817ae6b12a14c4,6.29989E+21,2.49781E+25
0xfed77055b40d63dcf17ab250ffd6948fbff57b82,6.06115E+21,2.49842E+25
0x736e5ecea6941dad88c38f9a2dbef6f57fefe6f5,6.0009E+21,2.49902E+25
0xe9778e69a961e64d3cdbb34cf6778281d34667c2,5.81193E+21,2.4996E+25
0x06a4ef39e077471214e4a8bfa0cbbe34e88849a2,5.81114E+21,2.50018E+25
0xed46a65c56c63d632aee7652fb766a548b230578,5.67402E+21,2.50075E+25
0x6e011e100c10ebaad634214523bcf3bf61dd22bd,5.64386E+21,2.50131E+25
0xf48c9c8c7fe5b36ba0b83761cdc22626c4ebba5e,5.64119E+21,2.50188E+25
0x1485e9852ac841b52ed44d573036429504f4f602,5.36905E+21,2.50241E+25
0x729488d15a1b397cbd96cc02e2803af64390f44c,5.24124E+21,2.50294E+25
0x611234fe0d32e298ab8c283df6f8bfba4c5deaf4,5.21268E+21,2.50346E+25
0x0ef1b8a0e726fc3948e15b23993015eb1627f210,5.18418E+21,2.50398E+25
0x278f5d08bea1989befcc09a20ad60fb39702d556,5.17857E+21,2.5045E+25
0xa08a721dfb595753fff335636674d76c455b275c,5.10794E+21,2.50501E+25
0x91bd62e48282ea188998d04570ed8a3e237d3a6a,5.1064E+21,2.50552E+25
